"Grantor Primary SMTP";"Grantor Display Name";"Grantor Recipient Type";"Grantor Environment";"Folder";"Permission";"Allow/Deny";"Inherited";"InheritanceType";"Trustee Original Identity";"Trustee Primary SMTP";"Trustee Display Name";"Trustee Recipient Type";"Trustee Environment"
"distA@example.com";"Distribution Jane and John Doe";"MailUniversalDistributionGroup/MailUniversalDistributionGroup";"On-prem";"";"ManagedBy";"Allow";"False";"None";"Postmaster example.com";"Postmaster@example.com";"zzz Postmaster example.com";"UserMailbox/UserMailbox";"On-prem"
"distA@example.com";"Distribution Jane and John Doe";"MailUniversalDistributionGroup/MailUniversalDistributionGroup";"On-prem";"";"SendAs";"Allow";"False";"None";"zzz.distA";"distA@example.com";"Distribution Jane and John Doe";"MailUniversalDistributionGroup/MailUniversalDistributionGroup";"On-prem"
"distB@example.com";"Distribution B";"MailUniversalDistributionGroup/GroupMailbox";"On-prem";"";"ManagedBy";"Allow";"False";"None";"Doe John";"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"On-prem"
"distB@example.com";"Distribution B";"MailUniversalDistributionGroup/GroupMailbox";"On-prem";"";"ManagedBy";"Allow";"False";"None";"Jane.Doe@example.com";"Jane.Doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"On-prem"
"distC@example.com";"Distribution C";"MailUniversalDistributionGroup/GroupMailbox";"On-prem";"";"ManagedBy";"Allow";"False";"None";"Doe John";"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"On-prem"
"Frank.Doe@example.com";"Doe Frank";"UserMailbox/UserMailbox";"On-prem";"\Calendar";"Reviewer";"Allow";"False";"None";"Maureen.Doe@example.com";"Maureen.Doe@example.com";"Doe Maureen";"UserMailbox/UserMailbox";"On-prem"
"Jane.Doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"On-prem";"\Kalender";"LimitedDetails";"Allow";"False";"None";"John.Doe@example.com";"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"On-prem"
"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"On-prem";"\Calendar";"LimitedDetails";"Allow";"False";"None";"Dorothee.Doe@example.com";"Dorothee.Doe@example.com";"Doe Dorothee";"UserMailbox/UserMailbox";"On-prem"
"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"On-prem";"\Calendar";"LimitedDetails";"Allow";"False";"None";"Jane.Doe@example.com";"Jane.Doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"On-prem"
"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"On-prem";"\Inbox";"Reviewer";"Allow";"False";"None";"Jane.Doe@example.com";"Jane.Doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"On-prem"
"Maureen.Doe@example.com";"Doe Maureen";"UserMailbox/UserMailbox";"On-prem";"\Calendar";"Reviewer";"Allow";"False";"None";"Frank.Doe@example.com";"Frank.Doe@example.com";"Doe Frank";"UserMailbox/UserMailbox";"On-prem"
