"Grantor Primary SMTP";"Grantor Display Name";"Grantor Recipient Type";"Grantor Environment";"Folder";"Permission";"Allow/Deny";"Inherited";"InheritanceType";"Trustee Original Identity";"Trustee Primary SMTP";"Trustee Display Name";"Trustee Recipient Type";"Trustee Environment"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Archiv";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Archiv";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Aufgaben";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Aufgaben";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Calendar Logging";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Calendar Logging";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Conversation Action Settings";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Conversation Action Settings";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Conversation Action Settings1";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Conversation Action Settings1";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Dateien";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Dateien";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Deletions";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Deletions";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/DiscoveryHolds";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/DiscoveryHolds";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Dumpster";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Dumpster";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Einstellungen für QuickSteps";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Einstellungen für QuickSteps";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Einstellungen für Unterhaltungsaktionen";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Einstellungen für Unterhaltungsaktionen";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Entwürfe";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Entwürfe";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/ExternalContacts";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/ExternalContacts";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Gelöschte Elemente";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Gelöschte Elemente";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Gesendete Elemente";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Gesendete Elemente";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Journal";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Journal";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Junk-E-Mail";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Junk-E-Mail";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Junk-E-Mail";"Owner";"Allow";"False";"None";"Doe Jane";"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kalender";"AvailabilityOnly";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kalender";"LimitedDetails";"Allow";"False";"None";"Doe John";"john.doe@example.com";"Doe John";"UserMailbox/UserMailbox";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kalender";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kalender/Feiertage in Österreich";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kalender/Feiertage in Österreich";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kalender/Geburtstage";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kalender/Geburtstage";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kalender/Doe John";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kalender/Doe John";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/{06967759-274D-40B2-A3EB-D7F9E73727D7}";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/{06967759-274D-40B2-A3EB-D7F9E73727D7}";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/{A9E2BC46-B3A0-4243-B315-60D991004455}";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/{A9E2BC46-B3A0-4243-B315-60D991004455}";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/Firmen";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/Firmen";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/GAL Contacts";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/GAL Contacts";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/Organizational Contacts";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/Organizational Contacts";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/PeopleCentricConversation Buddies";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/PeopleCentricConversation Buddies";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/Recipient Cache";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Kontakte/Recipient Cache";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/News Feed";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/News Feed";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/News Feed";"Owner";"Allow";"False";"None";"Doe Jane";"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Notizen";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/Notizen";"None";"Allow";"False";"None";"Default";"";"";"";"Cloud"
"jane.doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"/PersonMetadata";"None";"Allow";"False";"None";"Anonymous";"";"";"";"Cloud"
