"Grantor Primary SMTP";"Grantor Display Name";"Grantor Recipient Type";"Grantor Environment";"Trustee Primary SMTP";"Trustee Display Name";"Trustee Recipient Type";"Trustee Environment";"Trustee Original Identity";"Permission";"Folder";"Grantor OU";"Trustee OU"
"Jane.Doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"Cloud";"John.Doe@example.com";"LimitedDetails";"\Kalender";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
"DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@examplecom.onmicrosoft.com";"Discovery Search Mailbox";"UserMailbox/DiscoveryMailbox";"Cloud";"";"";"/";"Cloud";"Discovery Management";"FullAccess";"";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";""
"distA@example.com";"Distribution Jane and John Doe";"MailUniversalDistributionGroup/MailUniversalDistributionGroup";"Cloud";"distA@example.com";"Distribution Jane and John Doe";"MailUniversalDistributionGroup/MailUniversalDistributionGroup";"Cloud";"zzz.distA";"SendAs";"";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
"distA@example.com";"Distribution Jane and John Doe";"MailUniversalDistributionGroup/MailUniversalDistributionGroup";"Cloud";"distA@example.com";"Distribution Jane and John Doe";"MailUniversalDistributionGroup/MailUniversalDistributionGroup";"Cloud";"zzz.distA";"SendAs";"";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
"distA@example.com";"Distribution Jane and John Doe";"MailUniversalDistributionGroup/MailUniversalDistributionGroup";"Cloud";"Postmaster@example.com";"zzz Postmaster example.com";"UserMailbox/UserMailbox";"Cloud";"Postmaster example.com";"ManagedBy";"";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"Cloud";"Jane.Doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"Jane.Doe@example.com";"LimitedDetails";"\Calendar";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"Cloud";"Jane.Doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"Jane.Doe@example.com";"Reviewer";"\Inbox";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"Cloud";"Samantha.Doe@example.com";"Doe Samantha";"UserMailbox/UserMailbox";"Cloud";"Samantha.Doe@example.com";"LimitedDetails";"\Calendar";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
"Frank.Doe@example.com";"Doe Frank";"UserMailbox/UserMailbox";"Cloud";"Maureen.Doe@example.com";"Doe Maureen";"UserMailbox/UserMailbox";"Cloud";"Maureen.Doe@example.com";"Reviewer";"\Calendar";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
"Maureen.Doe@example.com";"Doe Maureen";"UserMailbox/UserMailbox";"Cloud";"Frank.Doe@example.com";"Doe Frank";"UserMailbox/UserMailbox";"Cloud";"Frank.Doe@example.com";"Reviewer";"\Calendar";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
"distB@example.com";"Distribution B";"MailUniversalDistributionGroup/GroupMailbox";"Cloud";"Jane.Doe@example.com";"Doe Jane";"UserMailbox/UserMailbox";"Cloud";"Jane.Doe@example.com";"ManagedBy";"";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
"distB@example.com";"Distribution B";"MailUniversalDistributionGroup/GroupMailbox";"Cloud";"John.Doe@example.com";"Doe John";"UserMailbox/UserMailbox";"Cloud";"Doe John";"ManagedBy";"";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com";"nampr01a006.prod.outlook.com/Microsoft Exchange Hosted Organizations/examplecom.onmicrosoft.com"
